bundle,entity_id,name,address,code,store_id,lng,lat,hotline,status,province_id,district_id,type,multiple_type,marker_icon,marker_icon_clicked,category_name,category_slug,start_time,end_time,opentimesales,closetimesales,base_image_uri,get_direction,button_action,access_type,party_id,charging_publish,charging_status,parking_fee
charging_station,292,Vincom Plaza Lê Thánh Tôn,"Hầm B1, Vincom Plaza Lê Thánh Tôn, số 44-46, đường Lê Thánh Tôn",vfs_M.KHO0006,M.KHO0006,109.193367,12.242969,1900 23 23 89,1,2128,2129,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=12.242969,109.193367",[],Public,vfs,True,ACTIVE,True
charging_station,294,"Siêu thị Lan Chi Lý Nhân, Hà Nam",Đường Trần Hưng Đạo,vfs_M.HNA0005,M.HNA0005,106.034019,20.561029,1900 23 23 89,1,1944,1950,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=20.561029,106.034019",[],Public,vfs,True,ACTIVE,True
charging_station,295,Vincom Plaza Sơn La,"Hầm B1, Vincom Plaza Sơn La",vfs_M.SLA0002,M.SLA0002,103.917160,21.323429,1900 23 23 89,1,1781,1782,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=21.323429,103.917160",[],Public,vfs,True,ACTIVE,True
charging_station,296,"Vinhomes Ocean Park, hầm S1 10-12, B3CT05 PK3","Hầm S1.10-S1.12, Vinhomes Ocean Park",vfs_M.HNO0076,M.HNO0076,105.940887,20.990129,1900 23 23 89,1,1680,1692,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=20.990129,105.940887",[],Public,vfs,True,ACTIVE,True
charging_station,297,Vinmec Times City,"Hầm B2, bệnh viện Vinmec Times city, số 458, đường Minh Khai",vfs_M.HNO0086,M.HNO0086,105.867203,20.996370,1900 23 23 89,1,1680,1687,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=20.996370,105.867203",[],Public,vfs,True,ACTIVE,True
charging_station,298,Vincom Plaza Phủ Lý,"Hầm B2, cột 03A, Vincom plaza, số 42, đường Biên Hoà",vfs_M.HNA0007,M.HNA0007,105.917519,20.543489,1900 23 23 89,1,1944,1945,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=20.543489,105.917519",[],Public,vfs,True,ACTIVE,True
charging_station,299,Vincom+ Chí Linh,"Đường km4, khu dân cư Nguyễn Trãi 1",vfs_M.HDU0005,M.HDU0005,106.389839,21.110420,1900 23 23 89,1,1895,1897,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=21.110420,106.389839",[],Public,vfs,True,ACTIVE,True
charging_station,300,Vincom+ Nam Đàn,"Bãi đỗ xe Vincom+ Nam Đàn, khối Nam Bắc Sơn",vfs_M.NAN0007,M.NAN0007,105.494881,18.706059,1900 23 23 89,1,1999,2018,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=18.706059,105.494881",[],Public,vfs,True,ACTIVE,True
charging_station,301,"Vinhomes Symphony, khu cư dân","Hần tòa S6,Vinhomes Symphony, đường Chu Huy Mân",vfs_M.HNO0037,M.HNO0037,105.917809,21.049459,1900 23 23 89,1,1680,1684,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=21.049459,105.917809",[],Public,vfs,True,ACTIVE,True
charging_station,302,"Vinhomes Ocean Park, hầm B2 CT01, PK3",Hầm toà S2.01 đến S2.03 Vinhomes Ocean Park,vfs_M.HNO0061,M.HNO0061,105.940781,20.990940,1900 23 23 89,1,1680,1692,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=20.990940,105.940781",[],Public,vfs,True,ACTIVE,True
charging_station,303,Vincom Plaza Việt Trì,Phố Đoàn Kết,vfs_M.PTH0008,M.PTH0008,105.395721,21.312660,1900 23 23 89,1,1862,1863,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=21.312660,105.395721",[],Public,vfs,True,ACTIVE,True
charging_station,304,Vincom+ thị xã Phú Thọ,"Hầm B1, Vincom+ thị xã Phú Thọ, thửa đất số 134",vfs_M.PTH0009,M.PTH0009,105.213470,21.402109,1900 23 23 89,1,1862,1864,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=21.402109,105.213470",[],Public,vfs,True,INACTIVE,True
charging_station,305,"Siêu thị Big C, Go! Quy Nhơn",Khu đô thị xanh Vũng Chua,vfs_M.BDI0006,M.BDI0006,109.207916,13.754430,1900 23 23 89,1,2106,2107,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=13.754430,109.207916",[],Public,vfs,True,ACTIVE,True
charging_station,306,Vinpearl Luxury Đà Nẵng,"Số 7, đường Trường Sa",vfs_M.DNA0007,M.DNA0007,108.266083,16.005501,1900 23 23 89,1,2064,2069,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=16.005501,108.266083",[],Public,vfs,True,INACTIVE,True
charging_station,307,"Vincom Plaza Hòa Bình, trong hầm","Hầm Vincom Plaza Hòa Bình, số 332, đường Cù Chính Lan",vfs_M.HBI0005,M.HBI0005,105.351257,20.825741,1900 23 23 89,1,1804,1805,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=20.825741,105.351257",[],Public,vfs,True,ACTIVE,True
charging_station,308,Vincom Phan Rang,"Số 122, đường 16/4",vfs_M.NTH0004,M.NTH0004,109.009087,11.563890,1900 23 23 89,1,2138,2139,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=11.563890,109.009087",[],Public,vfs,True,ACTIVE,True
